Favorite Color,Favorite Music Genre,Favorite Beverage,Favorite Soft Drink,Gender
Warm,Electronic,Other,Coca Cola/Pepsi,M
Cool,Rock,Vodka,Coca Cola/Pepsi,M
Warm,R&B and soul,Wine,Other,M
Cool,Rock,Doesn't drink,Other,M
Cool,Electronic,Beer,Coca Cola/Pepsi,M
Warm,Rock,Wine,Coca Cola/Pepsi,F
Warm,Pop,Other,7UP/Sprite,F
Warm,Rock,Other,Coca Cola/Pepsi,F
Cool,Pop,Other,7UP/Sprite,F
Cool,Rock,Vodka,Coca Cola/Pepsi,F
Neutral,Pop,Doesn't drink,7UP/Sprite,M
Cool,Rock,Wine,Coca Cola/Pepsi,M
Cool,R&B and soul,Beer,Coca Cola/Pepsi,F
Warm,Pop,Whiskey,Fanta,F
Cool,Rock,Beer,Coca Cola/Pepsi,F
Cool,Pop,Beer,Other,F
Cool,Pop,Doesn't drink,Other,F
Warm,Folk/Traditional,Other,Fanta,M
Warm,R&B and soul,Doesn't drink,Coca Cola/Pepsi,M
Cool,Rock,Wine,7UP/Sprite,M
Cool,Electronic,Whiskey,Coca Cola/Pepsi,M
Cool,Rock,Other,Coca Cola/Pepsi,F
Cool,Hip hop,Beer,Coca Cola/Pepsi,M
Warm,Jazz/Blues,Wine,Coca Cola/Pepsi,F
Warm,Jazz/Blues,Doesn't drink,Fanta,F
Cool,Pop,Wine,7UP/Sprite,F
Cool,Pop,Beer,Fanta,F
Warm,Electronic,Vodka,Fanta,M
Warm,Rock,Other,7UP/Sprite,F
Warm,Electronic,Wine,Coca Cola/Pepsi,F
Warm,R&B and soul,Whiskey,Coca Cola/Pepsi,F
Cool,Pop,Other,Fanta,M
Cool,Rock,Other,Coca Cola/Pepsi,F
Warm,Hip hop,Beer,Coca Cola/Pepsi,M
Cool,Hip hop,Doesn't drink,Other,M
Warm,Jazz/Blues,Vodka,Coca Cola/Pepsi,M
Cool,Pop,Whiskey,Fanta,M
Neutral,Hip hop,Vodka,Coca Cola/Pepsi,F
Warm,Pop,Wine,7UP/Sprite,F
Cool,Electronic,Doesn't drink,Fanta,M
Cool,Folk/Traditional,Whiskey,7UP/Sprite,F
Cool,Pop,Beer,Coca Cola/Pepsi,F
Warm,Pop,Other,Coca Cola/Pepsi,F
Neutral,Rock,Doesn't drink,Coca Cola/Pepsi,M
Cool,R&B and soul,Doesn't drink,Coca Cola/Pepsi,M
Warm,Jazz/Blues,Whiskey,Fanta,F
Cool,Pop,Doesn't drink,7UP/Sprite,F
Neutral,Pop,Wine,Coca Cola/Pepsi,F
Warm,Rock,Vodka,7UP/Sprite,M
Cool,Rock,Vodka,Coca Cola/Pepsi,M
Cool,Pop,Whiskey,Other,M
Warm,Folk/Traditional,Whiskey,Fanta,F
Cool,Rock,Vodka,7UP/Sprite,F
Warm,Rock,Beer,Fanta,M
Cool,R&B and soul,Whiskey,7UP/Sprite,M
Cool,Folk/Traditional,Beer,Other,M
